"unixtime","open","high","low","close","volume","date","price","crypto"
1612310400,8.8e-07,8.9e-07,8.8e-07,8.9e-07,252668,2021-02-03 00:00:00,0.0262568245,"Dogecoin"
1612310460,8.8e-07,8.9e-07,8.8e-07,8.9e-07,185146,2021-02-03 00:01:00,0.0262232181,"Dogecoin"
1612310520,8.9e-07,8.9e-07,8.8e-07,8.9e-07,28648,2021-02-03 00:02:00,0.0263067179,"Dogecoin"
1612310580,8.8e-07,8.9e-07,8.8e-07,8.8e-07,196881,2021-02-03 00:03:00,0.0259816656,"Dogecoin"
1612310640,8.9e-07,8.9e-07,8.8e-07,8.9e-07,133214,2021-02-03 00:04:00,0.0262191419,"Dogecoin"
1612310700,8.9e-07,8.9e-07,8.8e-07,8.9e-07,206948,2021-02-03 00:05:00,0.0262053202,"Dogecoin"
1612310760,8.8e-07,8.9e-07,8.8e-07,8.9e-07,217579,2021-02-03 00:06:00,0.026214772,"Dogecoin"
1612310820,8.9e-07,8.9e-07,8.8e-07,8.8e-07,100614,2021-02-03 00:07:00,0.025947768,"Dogecoin"
1612310880,8.8e-07,8.9e-07,8.8e-07,8.9e-07,231084,2021-02-03 00:08:00,0.0262430028,"Dogecoin"
1612310940,8.9e-07,8.9e-07,8.8e-07,8.9e-07,597042,2021-02-03 00:09:00,0.0262334353,"Dogecoin"
1612311000,8.9e-07,9e-07,8.8e-07,8.9e-07,2239473,2021-02-03 00:10:00,0.0262551869,"Dogecoin"
1612311060,8.9e-07,9e-07,8.9e-07,9e-07,450479,2021-02-03 00:11:00,0.026539911,"Dogecoin"
1612311120,9e-07,9e-07,8.9e-07,9e-07,791937,2021-02-03 00:12:00,0.026563248,"Dogecoin"
1612311180,8.9e-07,9e-07,8.8e-07,8.9e-07,604569,2021-02-03 00:13:00,0.0263413745,"Dogecoin"
1612311240,8.9e-07,8.9e-07,8.8e-07,8.9e-07,282160,2021-02-03 00:14:00,0.0263153331,"Dogecoin"
1612311300,8.8e-07,9e-07,8.8e-07,9e-07,575035,2021-02-03 00:15:00,0.02664,"Dogecoin"
1612311360,9e-07,9e-07,8.9e-07,8.9e-07,695311,2021-02-03 00:16:00,0.0263627434,"Dogecoin"
1612311420,9e-07,9e-07,8.8e-07,8.9e-07,510359,2021-02-03 00:17:00,0.0264775,"Dogecoin"
1612311480,8.9e-07,8.9e-07,8.8e-07,8.9e-07,62124,2021-02-03 00:18:00,0.0264961811,"Dogecoin"
1612311540,8.8e-07,8.9e-07,8.8e-07,8.9e-07,85886,2021-02-03 00:19:00,0.0265389812,"Dogecoin"
1612311600,8.9e-07,8.9e-07,8.8e-07,8.9e-07,643248,2021-02-03 00:20:00,0.0265270641,"Dogecoin"
1612311660,8.9e-07,8.9e-07,8.8e-07,8.8e-07,188871,2021-02-03 00:21:00,0.0262783664,"Dogecoin"
1612311720,8.9e-07,8.9e-07,8.8e-07,8.8e-07,775156,2021-02-03 00:22:00,0.0262597456,"Dogecoin"
1612311780,8.8e-07,8.9e-07,8.8e-07,8.9e-07,401981,2021-02-03 00:23:00,0.0265399513,"Dogecoin"
1612311840,8.9e-07,8.9e-07,8.8e-07,8.8e-07,1543000,2021-02-03 00:24:00,0.0262666096,"Dogecoin"
1612311900,8.8e-07,8.9e-07,8.8e-07,8.8e-07,91904,2021-02-03 00:25:00,0.026270552,"Dogecoin"
1612311960,8.9e-07,8.9e-07,8.8e-07,8.8e-07,5205930,2021-02-03 00:26:00,0.0264,"Dogecoin"
1612312020,8.9e-07,8.9e-07,8.8e-07,8.9e-07,287141,2021-02-03 00:27:00,0.0266889373,"Dogecoin"
1612312080,8.9e-07,8.9e-07,8.8e-07,8.9e-07,1283256,2021-02-03 00:28:00,0.0267286135,"Dogecoin"
1612312140,8.8e-07,8.9e-07,8.8e-07,8.8e-07,173143,2021-02-03 00:29:00,0.0264495704,"Dogecoin"
1612312200,8.9e-07,9e-07,8.8e-07,9e-07,1481848,2021-02-03 00:30:00,0.027026343,"Dogecoin"
